date,category,key,card_name,fee,기본_30만,기본_40만,기본_50만,기본_60만,기본_70만,기본_80만,기본_100만,기본_120만,기본_150만,기본_200만,프로모_30만,프로모_40만,프로모_50만,프로모_60만,프로모_70만,프로모_80만,프로모_100만,프로모_120만,프로모_150만,프로모_200만
2026-08-16,렌탈,코웨이,KB국민 코웨이Ⅱ카드,"K-World(JCB) 30,000원 / Master 30,000원",,15000,15000,15000,15000,20000,20000,20000,20000,20000,,26000,26000,26000,26000,26000,26000,26000,26000,26000
2026-08-16,렌탈,코웨이,코웨이 삼성카드,"국내전용 15,000원, 해외겸용(VISA) 15,000원",7000,7000,7000,7000,10000,10000,10000,13000,13000,13000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
2026-08-16,렌탈,코웨이,코웨이 현대카드,"국내전용 20,000원 / 국내외겸용(VISA/Master) 20,000원",,8000,8000,8000,8000,12000,12000,16000,16000,16000,,,,,,,,,,
2026-08-16,렌탈,코웨이,코웨이 IBK카드,"국내전용 12,000원 / UnionPay 15,000원 / Master 15,000원",13000,13000,13000,13000,17000,17000,17000,23000,23000,23000,,,,,,,,,,
2026-08-16,렌탈,코웨이,마이 코웨이 하나카드,"국내외겸용 25,000원",13000,13000,13000,13000,13000,18000,18000,18000,25000,25000,,,,,,,,,,
2026-08-16,렌탈,코웨이,코웨이 NH 올원카드,"국내전용 10,000원 / Master 12,000원",10000,10000,10000,10000,10000,10000,15000,15000,15000,30000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
2026-08-16,렌탈,코웨이,코웨이 신한카드,"국내전용 27,000원, 해외겸용 30,000원",13000,13000,13000,13000,17000,17000,17000,17000,30000,30000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
2026-08-16,렌탈,코웨이,코웨이 ICON 우리카드,"국내전용 25,000원, MASTER(국내외겸용) 25,000원",13000,13000,13000,13000,13000,17000,17000,17000,23000,23000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
2026-08-16,렌탈,SK매직,SK인텔릭스 삼성카드,"국내전용 15,000원 / 국내외겸용(MasterCard) 15,000원",7000,7000,7000,7000,10000,10000,10000,13000,13000,13000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
2026-08-16,렌탈,SK매직,SK인텔릭스 KJ카드,"국내전용 14,000원 / 국내외겸용(MasterCard) 15,000원",10000,10000,10000,10000,16000,16000,16000,23000,23000,23000,,,,,,,,,,
